hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
HS-COMP-000001,North Capital 1,client001.example.com,EdTech,HS-OWN-0005,2024-08-29 04:19:59,2026-03-08 07:54:21,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18279.81,""renewal_date"":""2025-08-29""}"
HS-COMP-000002,North Retail 2,client002.example.com,E-commerce,HS-OWN-0006,2025-12-13 15:17:25,2026-01-13 15:21:23,"{""service_line_tags"":[""SEO""],""contract_type"":""Hybrid"",""retainer_value"":12008.82,""renewal_date"":""2026-12-13""}"
HS-COMP-000003,Bright Labs 3,client003.example.com,Real Estate,HS-OWN-0008,2025-01-16 20:05:20,2025-04-01 23:00:46,"{""service_line_tags"":[""SEO"",""Web Dev"",""Analytics""],""contract_type"":""Project"",""retainer_value"":21568.62,""renewal_date"":""2027-01-16""}"
HS-COMP-000004,Nova Retail 4,client004.example.com,Real Estate,HS-OWN-0002,2025-05-30 12:30:50,2025-09-21 09:08:00,"{""service_line_tags"":[""Social""],""contract_type"":""Hybrid"",""retainer_value"":16416.69,""renewal_date"":""2026-05-30""}"
HS-COMP-000005,Prime Health 5,client005.example.com,FinTech,HS-OWN-0006,2024-09-20 18:03:45,2025-05-03 12:38:42,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":21744.65,""renewal_date"":""2025-03-19""}"
HS-COMP-000006,Blue Digital 6,client006.example.com,Real Estate,HS-OWN-0003,2024-12-28 16:27:24,2025-06-09 09:57:02,"{""service_line_tags"":[""Social"",""Paid Media"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":8507.0,""renewal_date"":""2026-12-28""}"
HS-COMP-000007,Nova Retail 7,client007.example.com,Real Estate,HS-OWN-0006,2025-03-21 18:53:08,2025-08-16 03:39:59,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":24764.28,""renewal_date"":""2027-03-21""}"
HS-COMP-000008,North Digital 8,client008.example.com,Real Estate,HS-OWN-0006,2025-12-26 01:14:29,2025-12-29 04:02:25,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":11526.21,""renewal_date"":""2026-06-24""}"
HS-COMP-000009,North Retail 9,client009.example.com,Real Estate,HS-OWN-0009,2025-04-19 12:04:33,2025-09-20 03:37:56,"{""service_line_tags"":[""Content"",""Social"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":12824.17,""renewal_date"":""2026-04-19""}"
HS-COMP-000010,Nova Capital 10,client010.example.com,SaaS,HS-OWN-0001,2025-02-23 12:18:58,2025-12-30 17:40:52,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":7434.72,""renewal_date"":""2025-08-22""}"
HS-COMP-000011,Prime Capital 11,client011.example.com,EdTech,HS-OWN-0008,2025-07-28 02:10:22,2025-09-28 05:18:47,"{""service_line_tags"":[""Content"",""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":11998.6,""renewal_date"":""2026-01-24""}"
HS-COMP-000012,Bright Labs 12,client012.example.com,Retail,HS-OWN-0007,2025-09-07 03:07:57,2025-10-21 14:49:55,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":22407.74,""renewal_date"":""2026-09-07""}"
HS-COMP-000013,North Digital 13,client013.example.com,SaaS,HS-OWN-0005,2024-03-30 06:13:40,2025-10-12 02:59:57,"{""service_line_tags"":[""Email"",""Analytics"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":8426.25,""renewal_date"":""2026-03-30""}"
HS-COMP-000014,Blue Digital 14,client014.example.com,Retail,HS-OWN-0008,2024-07-24 10:51:40,2025-05-10 21:07:13,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":14636.03,""renewal_date"":""2026-07-24""}"
HS-COMP-000015,Blue Labs 15,client015.example.com,Real Estate,HS-OWN-0008,2025-01-03 16:10:57,2025-08-30 12:39:40,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":3803.32,""renewal_date"":""2027-01-03""}"
HS-COMP-000016,Nova Retail 16,client016.example.com,Retail,HS-OWN-0009,2025-05-15 12:05:36,2026-03-08 22:11:15,"{""service_line_tags"":[""Web Dev"",""Paid Media"",""Email""],""contract_type"":""Retainer"",""retainer_value"":5388.81,""renewal_date"":""2026-05-15""}"
HS-COMP-000017,Prime Health 17,client017.example.com,FinTech,HS-OWN-0009,2025-11-04 08:53:40,2026-03-26 02:37:11,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":7025.9,""renewal_date"":""2026-11-04""}"
HS-COMP-000018,North Digital 18,client018.example.com,Healthcare,HS-OWN-0001,2024-09-18 06:23:34,2024-11-06 23:55:19,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":2973.27,""renewal_date"":""2026-09-18""}"
HS-COMP-000019,Bright Labs 19,client019.example.com,EdTech,HS-OWN-0004,2025-07-30 22:20:33,2025-08-22 19:05:08,"{""service_line_tags"":[""Social"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":4016.51,""renewal_date"":""2026-01-26""}"
HS-COMP-000020,Nova Capital 20,client020.example.com,Healthcare,HS-OWN-0008,2024-09-10 03:23:39,2025-11-02 23:26:35,"{""service_line_tags"":[""Paid Media"",""SEO""],""contract_type"":""Retainer"",""retainer_value"":18775.43,""renewal_date"":""2026-09-10""}"
HS-COMP-000021,Prime Labs 21,client021.example.com,Real Estate,HS-OWN-0002,2024-06-11 00:39:07,2025-11-04 20:58:50,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":10471.7,""renewal_date"":""2025-06-11""}"
HS-COMP-000022,Nova Capital 22,client022.example.com,Healthcare,HS-OWN-0007,2025-10-14 08:36:57,2025-12-19 05:52:50,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":8094.77,""renewal_date"":""2026-04-12""}"
HS-COMP-000023,Blue Labs 23,client023.example.com,Real Estate,HS-OWN-0009,2025-03-22 01:44:35,2025-06-27 02:06:28,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":12470.44,""renewal_date"":""2027-03-22""}"
HS-COMP-000024,North Capital 24,client024.example.com,SaaS,HS-OWN-0003,2025-11-03 01:12:35,2025-12-18 22:49:04,"{""service_line_tags"":[""SEO"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":11644.32,""renewal_date"":""2026-11-03""}"
HS-COMP-000025,Nova Capital 25,client025.example.com,Healthcare,HS-OWN-0004,2024-10-19 17:28:26,2025-10-08 03:26:40,"{""service_line_tags"":[""Paid Media"",""SEO""],""contract_type"":""Project"",""retainer_value"":12017.67,""renewal_date"":""2026-10-19""}"
HS-COMP-000026,Blue Digital 26,client026.example.com,FinTech,HS-OWN-0009,2025-06-20 14:26:02,2026-01-17 04:03:34,"{""service_line_tags"":[""Paid Media"",""SEO"",""Email""],""contract_type"":""Retainer"",""retainer_value"":19329.45,""renewal_date"":""2025-12-17""}"
HS-COMP-000027,North Capital 27,client027.example.com,SaaS,HS-OWN-0010,2024-05-28 23:07:00,2026-03-21 05:17:31,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":4041.73,""renewal_date"":""2024-11-24""}"
HS-COMP-000028,Nova Digital 28,client028.example.com,EdTech,HS-OWN-0006,2025-07-02 12:22:16,2025-07-17 22:47:24,"{""service_line_tags"":[""Paid Media"",""Social""],""contract_type"":""Hybrid"",""retainer_value"":4344.63,""renewal_date"":""2027-07-02""}"
HS-COMP-000029,Bright Capital 29,client029.example.com,Retail,HS-OWN-0002,2025-10-05 00:30:49,2025-12-05 00:42:59,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":8476.33,""renewal_date"":""2026-04-03""}"
HS-COMP-000030,Nova Health 30,client030.example.com,Healthcare,HS-OWN-0006,2025-07-23 04:58:42,2026-02-26 20:27:33,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":4148.37,""renewal_date"":""2026-01-19""}"
HS-COMP-000031,Bright Digital 31,client031.example.com,E-commerce,HS-OWN-0009,2025-01-08 18:12:54,2025-08-18 02:45:54,"{""service_line_tags"":[""Social""],""contract_type"":""Retainer"",""retainer_value"":12359.15,""renewal_date"":""2027-01-08""}"
HS-COMP-000032,North Health 32,client032.example.com,SaaS,HS-OWN-0002,2025-12-22 09:39:21,2026-02-14 05:58:22,"{""service_line_tags"":[""Email"",""Paid Media"",""Content""],""contract_type"":""Project"",""retainer_value"":23464.51,""renewal_date"":""2026-06-20""}"
HS-COMP-000033,Bright Digital 33,client033.example.com,FinTech,HS-OWN-0005,2024-11-01 14:02:54,2026-02-14 08:53:36,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":18646.27,""renewal_date"":""2025-04-30""}"
HS-COMP-000034,North Health 34,client034.example.com,Healthcare,HS-OWN-0008,2025-08-02 09:38:59,2026-01-13 21:39:43,"{""service_line_tags"":[""Social"",""Web Dev"",""Email""],""contract_type"":""Project"",""retainer_value"":3491.95,""renewal_date"":""2026-08-02""}"
HS-COMP-000035,North Digital 35,client035.example.com,SaaS,HS-OWN-0006,2024-04-04 05:59:13,2024-06-30 03:28:02,"{""service_line_tags"":[""Email"",""Paid Media"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":23763.65,""renewal_date"":""2026-04-04""}"
HS-COMP-000036,Bright Retail 36,client036.example.com,Real Estate,HS-OWN-0004,2024-07-04 17:29:15,2024-08-06 05:14:02,"{""service_line_tags"":[""SEO"",""Content"",""Email""],""contract_type"":""Project"",""retainer_value"":10704.66,""renewal_date"":""2024-12-31""}"
HS-COMP-000037,North Retail 37,client037.example.com,E-commerce,HS-OWN-0003,2026-02-12 11:11:46,2026-03-26 22:18:37,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":24411.33,""renewal_date"":""2028-02-12""}"
HS-COMP-000038,North Health 38,client038.example.com,Healthcare,HS-OWN-0002,2024-04-15 23:46:55,2024-09-02 07:18:25,"{""service_line_tags"":[""Analytics"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":23300.96,""renewal_date"":""2025-04-15""}"
HS-COMP-000039,Bright Health 39,client039.example.com,E-commerce,HS-OWN-0004,2026-01-23 15:04:08,2026-03-10 07:51:22,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":6990.39,""renewal_date"":""2027-01-23""}"
HS-COMP-000040,Bright Health 40,client040.example.com,Real Estate,HS-OWN-0009,2025-08-22 09:38:28,2025-11-05 09:44:28,"{""service_line_tags"":[""Social"",""Email""],""contract_type"":""Project"",""retainer_value"":9885.89,""renewal_date"":""2026-02-18""}"
HS-COMP-000041,North Digital 41,client041.example.com,Retail,HS-OWN-0001,2024-12-09 22:48:42,2024-12-31 09:19:22,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":22233.36,""renewal_date"":""2025-12-09""}"
HS-COMP-000042,Nova Digital 42,client042.example.com,SaaS,HS-OWN-0007,2025-02-28 06:35:11,2025-11-23 18:39:40,"{""service_line_tags"":[""Paid Media"",""Content"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":20194.63,""renewal_date"":""2026-02-28""}"
HS-COMP-000043,North Health 43,client043.example.com,FinTech,HS-OWN-0002,2025-09-29 06:26:46,2025-12-22 22:37:17,"{""service_line_tags"":[""Content"",""Email"",""Analytics""],""contract_type"":""Retainer"",""retainer_value"":14198.21,""renewal_date"":""2027-09-29""}"
HS-COMP-000044,Bright Capital 44,client044.example.com,Retail,HS-OWN-0007,2025-08-25 00:10:10,2025-10-12 09:45:41,"{""service_line_tags"":[""Content"",""Email"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":22751.05,""renewal_date"":""2027-08-25""}"
HS-COMP-000045,North Digital 45,client045.example.com,EdTech,HS-OWN-0005,2024-08-23 17:53:21,2025-07-16 07:34:36,"{""service_line_tags"":[""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":23658.18,""renewal_date"":""2026-08-23""}"
HS-COMP-000046,Nova Health 46,client046.example.com,FinTech,HS-OWN-0008,2024-11-18 18:22:13,2025-06-29 14:49:46,"{""service_line_tags"":[""Social"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":12172.48,""renewal_date"":""2026-11-18""}"
HS-COMP-000047,Bright Digital 47,client047.example.com,Real Estate,HS-OWN-0010,2025-04-28 18:42:17,2025-10-29 13:07:10,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":6318.06,""renewal_date"":""2025-10-25""}"
HS-COMP-000048,Blue Labs 48,client048.example.com,Healthcare,HS-OWN-0008,2025-09-01 07:33:04,2025-12-30 20:52:12,"{""service_line_tags"":[""Analytics"",""SEO"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":20647.67,""renewal_date"":""2026-02-28""}"
HS-COMP-000049,Prime Retail 49,client049.example.com,Healthcare,HS-OWN-0001,2025-02-12 15:28:16,2025-07-13 16:00:23,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18167.97,""renewal_date"":""2026-02-12""}"
HS-COMP-000050,Nova Capital 50,client050.example.com,SaaS,HS-OWN-0009,2025-02-20 23:01:49,2025-08-09 22:31:29,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":20592.47,""renewal_date"":""2027-02-20""}"
HS-COMP-000051,Nova Digital 51,client051.example.com,EdTech,HS-OWN-0006,2024-06-30 00:01:08,2025-06-19 13:05:02,"{""service_line_tags"":[""Email"",""Social""],""contract_type"":""Retainer"",""retainer_value"":20531.87,""renewal_date"":""2026-06-30""}"
HS-COMP-000052,Prime Retail 52,client052.example.com,Real Estate,HS-OWN-0008,2026-02-18 14:11:39,2026-03-15 02:18:12,"{""service_line_tags"":[""Content"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":21187.81,""renewal_date"":""2028-02-18""}"
HS-COMP-000053,Prime Retail 53,client053.example.com,Retail,HS-OWN-0008,2026-01-09 01:54:35,2026-03-11 23:46:06,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":19730.81,""renewal_date"":""2028-01-09""}"
HS-COMP-000054,Blue Retail 54,client054.example.com,Healthcare,HS-OWN-0004,2024-11-04 16:05:22,2025-05-05 19:21:59,"{""service_line_tags"":[""Social"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":10056.57,""renewal_date"":""2026-11-04""}"
HS-COMP-000055,Nova Capital 55,client055.example.com,FinTech,HS-OWN-0001,2025-09-27 10:20:17,2025-11-07 23:25:50,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":11834.53,""renewal_date"":""2026-09-27""}"
HS-COMP-000056,Nova Capital 56,client056.example.com,FinTech,HS-OWN-0001,2025-02-17 01:46:25,2025-12-16 14:08:51,"{""service_line_tags"":[""Content"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":23786.4,""renewal_date"":""2025-08-16""}"
HS-COMP-000057,Nova Retail 57,client057.example.com,FinTech,HS-OWN-0004,2026-01-19 15:09:13,2026-03-01 07:32:38,"{""service_line_tags"":[""Web Dev"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":19319.1,""renewal_date"":""2028-01-19""}"
HS-COMP-000058,North Capital 58,client058.example.com,Healthcare,HS-OWN-0010,2024-04-19 06:47:33,2025-02-15 07:36:58,"{""service_line_tags"":[""SEO"",""Web Dev"",""Email""],""contract_type"":""Project"",""retainer_value"":17549.66,""renewal_date"":""2025-04-19""}"
HS-COMP-000059,North Capital 59,client059.example.com,Healthcare,HS-OWN-0001,2025-06-09 02:45:35,2026-02-21 14:21:55,"{""service_line_tags"":[""Web Dev"",""Content""],""contract_type"":""Retainer"",""retainer_value"":4388.82,""renewal_date"":""2026-06-09""}"
HS-COMP-000060,Bright Capital 60,client060.example.com,Retail,HS-OWN-0002,2024-09-08 03:21:52,2025-08-27 07:34:27,"{""service_line_tags"":[""SEO"",""Social""],""contract_type"":""Project"",""retainer_value"":10093.76,""renewal_date"":""2025-09-08""}"
